series_id,sender_celltype,receiver_celltype,ligand,receptor,pair,pathway,ipf_interaction_score,control_interaction_score,ipf_minus_control_interaction_score,interaction_log2_ratio
GSE135893,Endothelial,Epithelial,MIF,CXCR4,MIF-CXCR4,MIF inflammatory signaling,0.03498282072954927,0.07578951956540592,-0.04080669883585664,-0.9314272815896127
GSE136831,Epithelial,Endothelial,IL1B,IL1R1,IL1B-IL1R1,inflammatory cytokine signaling,0.05737523167334127,0.09942206823303848,-0.04204683655969721,-0.6996134963128067
GSE136831,Epithelial,Myeloid,POSTN,ITGB1,POSTN-ITGB1,periostin-integrin stromal signaling,0.07973790920581263,0.12188826596315765,-0.04215035675734502,-0.5555267380842166
GSE136831,Epithelial,Stromal,COL14A1,ITGB1,COL14A1-ITGB1,collagen-integrin matrix remodeling,0.08289935638923439,0.1254962746570023,-0.042596918267767916,-0.5445126798758446
GSE136831,Epithelial,Epithelial,POSTN,ITGB1,POSTN-ITGB1,periostin-integrin stromal signaling,0.11950525588245277,0.16262989460255461,-0.043124638720101846,-0.4146716701287315
GSE135893,Immune,Epithelial,MIF,CXCR4,MIF-CXCR4,MIF inflammatory signaling,0.0305135107435185,0.07553282383351051,-0.045019313089992005,-1.0780750620176172
GSE136831,Epithelial,Epithelial,IL1B,IL1R1,IL1B-IL1R1,inflammatory cytokine signaling,0.0482133007717555,0.0947323606384313,-0.046519059866675795,-0.8472865532882612
GSE136831,Epithelial,Endothelial,POSTN,ITGB1,POSTN-ITGB1,periostin-integrin stromal signaling,0.15712967007834241,0.20424141390991912,-0.04711174383157671,-0.35826951314713834
GSE135893,Epithelial,Epithelial,MIF,CXCR4,MIF-CXCR4,MIF inflammatory signaling,0.039173944528721076,0.09121829610434072,-0.052044351575619645,-1.0415041016310682
GSE136831,Lymphoid,Endothelial,TGFB1,TGFBR1,TGFB1-TGFBR1,fibrotic growth factor signaling,0.41559165032321504,0.4688053037035589,-0.05321365338034384,-0.16996928613181025
GSE135893,Endothelial,Endothelial,MIF,CXCR4,MIF-CXCR4,MIF inflammatory signaling,0.08061938319049286,0.13752609026282897,-0.05690670707233611,-0.703078544178183
GSE135893,Mesenchymal,Epithelial,MIF,CXCR4,MIF-CXCR4,MIF inflammatory signaling,0.03671973225694956,0.0943692821635533,-0.05764954990660374,-1.1595932506753155
GSE135893,Mesenchymal,Epithelial,TGFB1,TGFBR2,TGFB1-TGFBR2,fibrotic growth factor signaling,0.172817111160005,0.23559146163067157,-0.06277435047066657,-0.4258592951865701
GSE136831,Epithelial,Stromal,POSTN,ITGB1,POSTN-ITGB1,periostin-integrin stromal signaling,0.1680938523178788,0.23219227038138404,-0.06409841806350525,-0.4435151054237763
GSE135893,Mesenchymal,Mesenchymal,TGFB1,TGFBR2,TGFB1-TGFBR2,fibrotic growth factor signaling,0.232026430071545,0.2983820754158705,-0.06635564534432548,-0.3495543085379161
GSE135893,Endothelial,Immune,CCL2,CCR2,CCL2-CCR2,monocyte recruitment,0.13648176999384326,0.20318387588859008,-0.06670210589474682,-0.5413771953541366
GSE135893,Immune,Endothelial,MIF,CXCR4,MIF-CXCR4,MIF inflammatory signaling,0.07031967016430564,0.13706029551182433,-0.06674062534751869,-0.8725825391468814
GSE136831,Lymphoid,Myeloid,TGFB1,TGFBR2,TGFB1-TGFBR2,fibrotic growth factor signaling,0.9941005844513308,1.063949697204508,-0.06984911275317718,-0.09702262382457559
GSE135893,Mesenchymal,Immune,TGFB1,TGFBR2,TGFB1-TGFBR2,fibrotic growth factor signaling,0.1741772066589778,0.24643367067947952,-0.07225646402050173,-0.4774911776261624
GSE135893,Endothelial,Endothelial,TGFB1,TGFBR2,TGFB1-TGFBR2,fibrotic growth factor signaling,0.9677422090615144,1.0420208887323081,-0.07427867967079371,-0.10563731050388613
GSE136831,Myeloid,Lymphoid,IL1B,IL1R1,IL1B-IL1R1,inflammatory cytokine signaling,0.15772056628192943,0.23223373477064166,-0.07451316848871223,-0.5303401901458025
GSE135893,Epithelial,Endothelial,MIF,CXCR4,MIF-CXCR4,MIF inflammatory signaling,0.09027800443708721,0.1655228281641349,-0.0752448237270477,-0.807653485398684
GSE136831,Lymphoid,Stromal,IL1B,IL1R1,IL1B-IL1R1,inflammatory cytokine signaling,0.05726857335076387,0.13778746522740284,-0.08051889187663896,-1.135519344190105
GSE135893,Mesenchymal,Endothelial,MIF,CXCR4,MIF-CXCR4,MIF inflammatory signaling,0.08462216893147197,0.1712405421129905,-0.08661837318151853,-0.9376555754213768
GSE136831,Lymphoid,Endothelial,IL1B,IL1R1,IL1B-IL1R1,inflammatory cytokine signaling,0.05325527729937164,0.14332155368634153,-0.09006627638696989,-1.277302770926255
GSE136831,Lymphoid,Epithelial,IL1B,IL1R1,IL1B-IL1R1,inflammatory cytokine signaling,0.04475123894464132,0.13656112121154834,-0.09180988226690702,-1.4205389290087793
GSE136831,Myeloid,Myeloid,IL1B,IL1R1,IL1B-IL1R1,inflammatory cytokine signaling,0.18870974567913015,0.2964148540639016,-0.10770510838477146,-0.6248236054352113
GSE136831,Myeloid,Stromal,IL1B,IL1R1,IL1B-IL1R1,inflammatory cytokine signaling,0.587090455702416,0.7709855007169077,-0.18389504501449172,-0.387346256566714
GSE135893,Mesenchymal,Endothelial,COL3A1,ITGB1,COL3A1-ITGB1,collagen-integrin matrix remodeling,4.776046766258256,4.9620829715968355,-0.18603620533857956,-0.055015877494113075
GSE136831,Myeloid,Endothelial,IL1B,IL1R1,IL1B-IL1R1,inflammatory cytokine signaling,0.5459480337801988,0.8019513215518058,-0.25600328777160697,-0.5464432009554787
GSE135893,Epithelial,Mesenchymal,MIF,CD74,MIF-CD74,MIF inflammatory signaling,3.6821194830909234,3.9556792885627865,-0.2735598054718631,-0.10311876727082453
GSE135893,Mesenchymal,Endothelial,TGFB1,TGFBR2,TGFB1-TGFBR2,fibrotic growth factor signaling,0.46262794386001915,0.7497678245536585,-0.2871398806936394,-0.6848536861684906
GSE136831,Myeloid,Epithelial,IL1B,IL1R1,IL1B-IL1R1,inflammatory cytokine signaling,0.4587686357112079,0.7641235306998649,-0.30535489498865703,-0.7236877572795759
GSE135893,Mesenchymal,Endothelial,COL1A1,ITGB1,COL1A1-ITGB1,collagen-integrin matrix remodeling,4.989707160799568,5.299781553915377,-0.31007439311580853,-0.08680891244170126
GSE135893,Immune,Mesenchymal,MIF,CD74,MIF-CD74,MIF inflammatory signaling,2.868089842824969,3.275479148427781,-0.40738930560281217,-0.19099215783047307
GSE135893,Mesenchymal,Mesenchymal,COL1A1,ITGA1,COL1A1-ITGA1,collagen-integrin matrix remodeling,1.6011659862896221,2.017785223394336,-0.4166192371047137,-0.3317997230325064
GSE135893,Mesenchymal,Mesenchymal,MIF,CD74,MIF-CD74,MIF inflammatory signaling,3.451438020444104,4.092321725719471,-0.6408837052753671,-0.2450691241276759
GSE135893,Mesenchymal,Endothelial,COL1A1,ITGA1,COL1A1-ITGA1,collagen-integrin matrix remodeling,2.0083154943935013,3.083652853123542,-1.0753373587300405,-0.6161596093331153
