feature,overall_selection_count,overall_selection_frequency,lasso_logistic_selection_frequency,elastic_net_selection_frequency,linear_svm_selection_frequency,rbf_svm_selection_frequency,random_forest_selection_frequency,gradient_boosting_selection_frequency,mlp_small_selection_frequency,models_selecting_feature,mean_importance,models_with_final_importance,panel_score,discovery_logFC,discovery_adj_p,same_direction_fdr_sig_count,robust_score,validation_details,degree,weighted_degree,hub_score,hub_rank,axis_count,regulating_mirnas,enrichment_gene_set_count,oligonucleotide_strategy,target_priority_score
LRRC17,320,0.9142857142857143,0.72,0.8,0.88,1.0,1.0,1.0,1.0,7,0.4029503126803573,5.0,3.7271221532091094,1.52447373445378,6.73109134022289e-32,4,29.0,GSE110147:1.57/FDR=1.03e-11; GSE150910:1.52/FDR=4.07e-19; GSE53845:1.5/FDR=7.25e-06; GSE92592:1.37/FDR=2.16e-07,2,0.898,0.8811992049641341,147,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,2.36
MMP7,276,0.7885714285714286,0.52,0.66,0.76,0.84,1.0,0.82,0.92,7,0.42402942322177817,5.0,3.5191718426501035,2.92959866554622,4.056979595725e-29,4,29.0,GSE110147:2.38/FDR=3.17e-07; GSE150910:1.71/FDR=1.44e-15; GSE53845:4.08/FDR=3.96e-10; GSE92592:3.85/FDR=2.3e-10,16,9.527,1.6619325067984871,45,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,2.32
HMCN1,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0.41286725968697435,7.0,3.9347826086956523,1.42244628571429,7.57529850525603e-37,2,17.0,GSE110147:1.87/FDR=6e-15; GSE150910:0.637/FDR=1.71e-09; GSE53845:0.876/FDR=0.000367; GSE92592:1.22/FDR=7.33e-06,3,1.638,0.9728710620209304,129,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,2.24
CSF3R,349,0.9971428571428571,0.98,1.0,1.0,1.0,1.0,1.0,1.0,7,0.36067239991686995,7.0,3.842111801242236,-1.44233322857143,1.68114777017015e-34,2,17.0,GSE110147:-1.14/FDR=2.98e-06; GSE150910:-1.21/FDR=9.69e-16; GSE53845:-0.88/FDR=5.8e-06; GSE92592:-0.71/FDR=0.00812,3,1.389,0.8445340595758648,156,0,,2,downregulated mRNA: not primary knockdown target; consider pathway context,2.0
NPR1,280,0.8,0.52,0.62,0.72,0.86,1.0,0.94,0.94,7,0.43779836581447407,5.0,3.563768115942029,-1.21791951764706,1.83361261671366e-29,3,23.0,GSE110147:-1.21/FDR=1.33e-09; GSE150910:-1.1/FDR=9.43e-14; GSE53845:-1.52/FDR=3.31e-10; GSE92592:-0.85/FDR=2.44e-05,4,2.463,1.3903834236357229,71,0,,2,downregulated mRNA: not primary knockdown target; consider pathway context,1.88
DIO2,291,0.8314285714285714,0.58,0.68,0.76,0.94,1.0,0.9,0.96,7,0.4109110330995412,5.0,3.590393374741201,1.29318638487395,4.95987316169666e-30,4,29.0,GSE110147:1.61/FDR=1.84e-15; GSE150910:3.36/FDR=2.69e-36; GSE53845:2.76/FDR=1.75e-09; GSE92592:3.64/FDR=5.74e-10,2,1.2080000000000002,0.6898363888162121,191,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,1.84
KLHL13,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0.3142005383803602,7.0,3.7971014492753623,1.39818914621849,2.4522472193758997e-35,3,23.0,GSE110147:1.59/FDR=2.28e-12; GSE150910:1.68/FDR=8.45e-26; GSE53845:0.876/FDR=4.84e-07; GSE92592:1.47/FDR=2.86e-05,1,0.411,0.6186799439610945,207,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,1.8
CXCL14,272,0.7771428571428571,0.56,0.64,0.7,0.84,1.0,0.8,0.9,7,0.4316218642768156,5.0,3.503561076604555,1.20366247226891,2.50254497961008e-29,4,29.0,GSE110147:1.02/FDR=1.11e-05; GSE150910:3.02/FDR=5.15e-34; GSE53845:3.96/FDR=3.38e-12; GSE92592:3.54/FDR=2.85e-12,3,2.043,0.8353791964035899,160,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,1.7999999999999998
SLCO4A1,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0.44553895035794433,7.0,3.971014492753623,-2.04902995126051,2.28290405220667e-37,2,13.75,GSE110147:-1.26/FDR=7.41e-06; GSE150910:-0.749/FDR=0.00186; GSE53845:-2.74/FDR=7.1e-10; GSE92592:0.0823/FDR=0.889,0,0.0,0.0,273,0,,2,downregulated mRNA: not primary knockdown target; consider pathway context,1.6
SYTL2,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0.33485577951248924,7.0,3.818840579710145,1.10353269411765,4.22440831693152e-37,2,17.0,GSE110147:1.78/FDR=1.11e-17; GSE150910:0.781/FDR=5.78e-18; GSE53845:1.53/FDR=1.49e-10; GSE92592:0.71/FDR=2.62e-05,0,0.0,0.0,275,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,1.54
PSD3,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0.3273645745730662,7.0,3.8115942028985508,1.07706565210084,1.10219057522338e-39,2,17.0,GSE110147:1.9/FDR=5.34e-18; GSE150910:0.447/FDR=8.8e-05; GSE53845:1.18/FDR=5.12e-12; GSE92592:0.802/FDR=6.96e-06,0,0.0,0.0,264,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,1.46
PDE7B,320,0.9142857142857143,0.8,0.76,0.84,1.0,1.0,1.0,1.0,7,0.31445059909703643,7.0,3.632919254658385,1.17829101176471,1.39218738439736e-32,2,17.0,GSE110147:0.759/FDR=3.16e-08; GSE150910:1.15/FDR=2.23e-15; GSE53845:0.369/FDR=0.000485; GSE92592:1.04/FDR=6.15e-06,2,1.328,0.7914402865572269,169,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,1.3599999999999999
IL18RAP,296,0.8457142857142858,0.58,0.7,0.78,0.94,1.0,0.96,0.96,7,0.43233902601426755,5.0,3.647950310559006,-1.66850551932773,1.7287075587620297e-30,2,13.75,GSE110147:0.591/FDR=0.0472; GSE150910:-1.16/FDR=9.68e-12; GSE53845:-1.4/FDR=0.000948; GSE92592:-0.683/FDR=0.0144,4,2.421,0.8760808920914196,149,0,,2,downregulated mRNA: not primary knockdown target; consider pathway context,1.34
GRASP,327,0.9342857142857143,0.8,0.88,0.86,1.0,1.0,1.0,1.0,7,0.3842194051670368,7.0,3.7236438923395445,-1.30432183529412,2.99463067673726e-32,2,17.0,GSE110147:-0.935/FDR=2.76e-08; GSE150910:-0.916/FDR=2.7e-12; GSE53845:-1.37/FDR=0.000215; GSE92592:-1.28/FDR=4.9e-06,0,0.0,0.0,244,0,,2,downregulated mRNA: not primary knockdown target; consider pathway context,1.3399999999999999
IL18R1,281,0.8028571428571428,0.56,0.7,0.74,0.84,1.0,0.84,0.94,7,0.4028555649990363,5.0,3.497018633540373,-1.50221171428572,2.50254497961008e-29,2,13.75,GSE110147:0.929/FDR=6.28e-05; GSE150910:-1.07/FDR=3.91e-11; GSE53845:-1.11/FDR=1.9e-09; GSE92592:-0.44/FDR=0.132,6,3.3040000000000003,0.934252549367096,134,0,,2,downregulated mRNA: not primary knockdown target; consider pathway context,1.1800000000000002
